wariant,mAP@50,mAP@50:95,AP_S,AP_M,AP_L,AR@100
Baseline A: real->real (gorny ref),0.9737,0.8073,0.7586,0.7825,0.8991,0.8465
Baseline B: synth 6460 -> real,0.4095,0.2388,0.2624,0.3284,0.0671,0.3686
Baseline B: synth 45k -> real,0.4525,0.2683,0.2859,0.3839,0.2008,0.5459
Eksp A: slaby HSV (10k),0.4591,0.2643,0.3056,0.3571,0.0908,0.3970
Eksp A: sredni HSV (10k),0.4308,0.2470,0.2649,0.3448,0.0986,0.3927
Eksp A: mocny HSV (10k),0.4458,0.2523,0.2675,0.3439,0.1047,0.3936
Eksp A: slaby HSV (45k, finalny),0.4549,0.2684,0.3370,0.3545,0.0902,0.4043
Arch: YOLO11l CNN duzy (10k),0.4670,0.2708,0.3061,0.3483,0.1081,0.3922
Arch: RT-DETR-l Transf maly (10k),0.2973,0.1575,0.1462,0.2296,0.0807,0.3076
Arch: RT-DETR-x Transf duzy (10k),0.3796,0.2051,0.2058,0.2849,0.0942,0.3731
Eksp D: imgsz 320 (10k),0.5224,0.2828,0.3078,0.3675,0.1511,0.4358
Eksp D: imgsz 768 (10k),0.4476,0.2519,0.2299,0.3390,0.1162,0.3741
Eksp D: imgsz 1024 (10k),0.3297,0.1895,0.2222,0.2500,0.0474,0.2839
Eksp B: sam szum (10k),0.4897,0.2797,0.2829,0.3821,0.1190,0.4353
Eksp B: rozmycie+szum (10k),0.4515,0.2585,0.2611,0.3579,0.1006,0.3999
Eksp B: rozmycie+szum+jpeg (10k),0.4509,0.2610,0.2943,0.3558,0.1009,0.4031
